Subject_Initials,Session_Number,Counterbalance_Order,Mouse/Touchscreen,Task,Run,Trial,Attempted_Trial,Number_of_Fixations,Fixation_1,Fixation_2,Fixation_3,Condition_Number,Horizontal/Vertical_Saccade,Saccade_Directions,Spatiotopic_Zone,Retinotopic_Zone,Correct_X,Correct_Y,Response_X,Response_Y,Error_X,Error_Y,Error_Dist,RT,True_Eccentricity,Measured_Eccentricity,PPD,initTrial,initCue,initFix1,initFixing1,initFix2,initFixing2,initFix3,initFixing3,initResp,sacLat1,sacLat2,sacLat3,errorCut_big_error_lag,initMask,saccade_condition
ad,2,3,M,S,5,4,6,3,3,1,3,5,1,34,5,5,611.4,492.94,608.28,489.91,-3.1253,-3.021,4.3467,1.7963,174.4289,175.3925,21.27,34.9553,35.6216,35.8215,35.8265,36.3214,36.4909,37.3377,37.6009,38.4709,0.0048,0.1693,0.2629,0,NA,2 return
ad,2,3,M,S,5,5,7,2,2,1,0,3,2,1,5,4,673.36,478.64,660.16,501.95,-13.1995,23.3128,26.7902,2.9701,171.0384,172.8781,21.27,43.5691,44.2188,44.4187,44.4261,44.9185,45.1249,NA,NA,45.985,0.0072,0.2062,NA,0,NA,1
ad,2,3,M,S,5,6,8,2,4,3,0,3,2,1,5,4,644.77,542.98,631.08,522.55,-13.6842,-20.4297,24.5892,3.7567,184.6759,178.1718,21.27,52.2662,52.9659,53.1658,53.1733,53.6657,53.8776,NA,NA,54.7487,0.0073,0.2118,NA,0,NA,1
ad,2,3,M,S,5,7,9,2,4,2,0,2,1,3,5,2,668.6,507.23,654.25,506.29,-14.3513,-0.9447,14.3823,3.0739,188.747,178.6153,21.27,61.8131,62.4794,62.6795,62.6846,63.1792,63.4401,NA,NA,64.3123,0.0049,0.2607,NA,0,NA,1
ad,2,3,M,S,5,8,12,2,4,2,0,2,1,3,5,2,632.85,523.92,653,515.52,20.1454,-8.396,21.825,2.1902,150.9583,171.5006,21.27,77.1246,77.8745,78.0744,78.0793,78.5743,78.8779,NA,NA,79.7405,0.0047,0.3035,NA,0,NA,1
ad,2,3,M,S,5,9,13,3,3,1,2,4,3,32,5,3,609.02,516.77,625.02,490.26,16.0039,-26.5045,30.9615,3.5967,140.3543,171.1632,21.27,85.2386,85.9717,86.1716,86.1783,86.6715,86.8693,87.7211,88.3369,89.2041,0.0065,0.1974,0.6156,0,NA,2
ad,2,3,M,S,5,10,15,1,4,0,0,1,0,0,5,5,637.62,492.94,631.86,497.98,-5.7575,5.0454,7.6554,1.9867,179.9547,180.1192,21.27,98.7009,99.4173,99.6172,99.6225,NA,NA,NA,NA,100.1338,0.0051,NA,NA,0,NA,0
ad,2,3,M,S,5,11,17,3,1,3,1,5,1,43,5,5,611.4,531.06,615.12,508.01,3.7185,-23.0571,23.355,1.7633,161.2231,144.7421,21.27,109.3976,115.5621,115.7621,115.7673,116.2618,116.4435,117.2949,117.4749,118.3444,0.0051,0.1816,0.1798,0,NA,2 return
ad,2,3,M,S,5,12,19,3,2,4,2,5,1,43,5,5,654.3,483.4,629.88,513.15,-24.4159,29.7458,38.4831,2.1874,194.996,156.5641,21.27,125.9254,126.5917,126.7916,126.7968,127.2917,127.4454,128.2913,128.4838,129.3408,0.005,0.1536,0.1923,0,NA,2 return
ad,2,3,M,S,5,13,20,1,3,0,0,1,0,0,5,5,630.47,488.17,627.3,483.51,-3.1629,-4.6571,5.6296,1.5145,156.0841,155.9769,21.27,134.8723,135.5721,135.772,135.7772,NA,NA,NA,NA,136.2885,0.005,NA,NA,0,NA,0
ad,2,3,M,S,5,14,21,3,3,4,3,5,2,21,5,5,659.06,478.64,665.34,474.32,6.2788,-4.3161,7.6192,1.974,127.7298,120.1543,21.27,141.1536,141.8035,142.0033,142.0085,142.5035,142.7175,143.5695,143.765,144.6359,0.005,0.2138,0.1953,0,NA,2 return
ad,2,3,M,S,5,15,22,1,1,0,0,1,0,0,5,5,637.62,535.83,625.58,538.54,-12.0388,2.704,12.3387,1.8825,180.5218,175.3748,21.27,149.951,150.6337,150.8337,150.8388,NA,NA,NA,NA,151.3502,0.0049,NA,NA,0,NA,0
ad,2,3,M,S,5,16,24,1,3,0,0,1,0,0,5,5,659.06,528.68,661.05,524.77,1.9898,-3.9084,4.3857,2.7089,164.6681,160.3402,21.27,159.1976,159.8474,160.0473,160.0522,NA,NA,NA,NA,160.5638,0.0048,NA,NA,0,NA,0
ad,2,3,M,S,5,17,25,2,2,1,0,3,2,1,5,4,656.68,500.08,654.53,487.31,-2.1545,-12.7719,12.9524,3.498,168.9861,159.6439,21.27,166.6288,167.295,167.495,167.5,167.9948,168.2129,NA,NA,169.0778,0.0049,0.218,NA,0,NA,1
ad,2,3,M,S,5,18,26,1,2,0,0,1,0,0,5,5,635.23,490.55,640.97,490.11,5.7389,-0.4387,5.7556,1.8908,177.1698,181.1702,21.27,175.9423,176.6087,176.8085,176.815,NA,NA,NA,NA,177.325,0.0062,NA,NA,0,NA,0
ad,2,3,M,S,5,19,28,2,2,4,0,2,1,4,5,8,649.53,535.83,680.49,540.04,30.9597,4.2079,31.2444,1.5681,141.1725,116.2766,21.27,185.1391,185.8055,186.0055,186.0106,186.5053,186.6739,NA,NA,187.5383,0.005,0.1684,NA,0,NA,1
ad,2,3,M,S,5,20,29,1,1,0,0,1,0,0,5,5,668.6,504.85,671.49,493.84,2.8948,-11.0108,11.385,1.7304,181.338,177.339,21.27,192.47,193.1866,193.3865,193.3916,NA,NA,NA,NA,193.9029,0.0049,NA,NA,0,NA,0
ad,2,3,M,S,5,21,30,2,3,4,0,3,2,2,5,6,651.92,485.79,643.27,492.05,-8.646,6.2689,10.6796,3.004,176.5828,176.9562,21.27,199.018,199.6843,199.8842,199.8894,200.384,200.6317,NA,NA,201.5004,0.005,0.2475,NA,0,NA,1
ad,2,3,M,S,5,22,32,2,4,3,0,3,2,1,5,4,620.94,521.53,635.79,518.28,14.8579,-3.2551,15.2103,2.68,184.746,171.8214,21.27,210.4809,211.2308,211.4304,211.4357,211.9303,212.23,NA,NA,213.0967,0.0051,0.2995,NA,0,NA,1
ad,2,3,M,S,5,23,34,2,1,2,0,3,2,2,5,6,666.21,545.36,645.96,538.05,-20.2572,-7.3089,21.5354,3.6746,164.8211,151.8866,21.27,221.8771,222.5769,222.7768,222.7818,223.2765,223.5273,NA,NA,224.393,0.0048,0.2507,NA,0,NA,1
ad,2,3,M,S,5,24,35,3,4,3,4,5,2,12,5,5,659.06,523.92,667.04,533.61,7.9741,9.6938,12.5522,1.8602,142.5847,130.0586,21.27,231.4405,232.107,232.3069,232.3118,232.8068,233.0332,233.8901,234.1513,235.0227,0.0048,0.2262,0.2611,0,NA,2 return
ad,2,3,M,S,5,25,36,2,1,3,0,2,1,4,5,8,649.53,531.06,677.55,527.39,28.0183,-3.6782,28.2587,2.3139,172.3326,153.3675,21.27,240.2545,240.9374,241.1373,241.1423,241.6374,241.802,NA,NA,242.6702,0.0048,0.1645,NA,0,NA,1
ad,2,3,M,S,5,26,38,2,3,1,0,2,1,3,5,2,620.94,500.08,614.39,515.89,-6.5484,15.8062,17.109,2.8472,142.5847,150.4944,21.27,250.9842,251.6672,251.8671,251.872,252.367,252.563,NA,NA,253.4333,0.0047,0.1959,NA,0,NA,1
ad,2,3,M,S,5,27,39,2,2,4,0,2,1,4,5,8,620.94,497.7,624.12,522.25,3.186,24.5526,24.7584,3.1005,188.0234,169.39,21.27,259.6812,260.3977,260.5976,260.6041,261.0974,261.2973,NA,NA,262.1637,0.0062,0.1997,NA,0,NA,1
ad,2,3,M,S,5,28,40,3,2,1,3,4,3,14,5,7,675.75,490.55,648.07,513.24,-27.6725,22.6863,35.7832,2.0879,124.3705,159.7037,21.27,268.6784,269.3614,269.5613,269.5698,270.0612,270.294,271.1442,271.3348,272.1941,0.0082,0.2326,0.1904,0,NA,2
ad,2,3,M,S,5,29,43,1,2,0,0,1,0,0,5,5,625.7,523.92,621.72,516.74,-3.9826,-7.1734,8.2048,1.4122,145.8751,148.4306,21.27,289.0883,290.0712,290.2712,290.2762,NA,NA,NA,NA,290.7876,0.0049,NA,NA,0,NA,0
ad,2,3,M,S,5,30,44,3,2,1,2,5,2,12,5,5,651.92,516.77,638.13,514.05,-13.7867,-2.7194,14.0523,2.1801,169.867,161.6312,21.27,295.6027,296.2528,296.4525,296.4576,296.9523,297.1587,298.0021,298.23630000000003,299.1017,0.005,0.2062,0.234,0,NA,2 return
ad,2,3,M,S,5,31,45,3,4,2,4,5,1,34,5,5,666.21,526.3,676.96,515.99,10.7506,-10.3104,14.8956,2.2217,136.0158,137.4359,21.27,304.7164,305.3665,305.5663,305.5711,306.0661,306.2675,307.1156,307.3094,308.1821,0.0047,0.2013,0.1937,0,NA,2 return
ad,2,3,M,S,5,32,47,3,3,4,2,4,3,23,5,3,620.94,492.94,649.73,494.14,28.7993,1.2055,28.8245,2.2142,166.5978,184.003,21.27,316.4959,317.1624,317.3624,317.3676,317.8621,318.0944,318.9452,319.2142,320.0781,0.0051,0.2321,0.2688,0,NA,2
ad,2,3,M,S,5,33,48,2,1,3,0,2,1,4,5,8,673.36,507.23,663.24,500.74,-10.1253,-6.4916,12.0276,2.654,138.9194,140.2652,21.27,325.7264,326.4259,326.626,326.6313,327.1258,327.2985,NA,NA,328.1588,0.0051,0.1725,NA,0,NA,1
ad,2,3,M,S,5,34,50,2,1,2,0,3,2,2,5,6,635.23,533.45,648.4,524.79,13.1686,-8.6629,15.7625,3.4904,146.3415,161.9967,21.27,336.9892,337.489,337.689,337.694,338.1887,338.4391,NA,NA,339.3052,0.0049,0.2501,NA,0,NA,1
ad,2,3,M,S,5,35,52,3,4,2,1,4,3,31,5,1,630.47,516.77,672.96,516.53,42.4973,-0.2389,42.498,2.8388,161.3485,191.9686,21.27,351.3844,353.9669,354.1668,354.1718,354.6668,354.9414,355.7831,356.0464,356.9159,0.0048,0.2744,0.2631,0,NA,2
ad,2,3,M,S,5,36,53,2,3,4,0,3,2,2,5,6,606.64,481.02,623.36,513.76,16.7269,32.7383,36.7639,4.0083,209.9065,175.4055,21.27,363.2138,363.9137,364.1135,364.1186,364.6134,364.8679,NA,NA,365.7297,0.0049,0.2544,NA,0,NA,1
ad,2,3,M,S,5,37,54,3,1,3,4,4,3,42,5,9,649.53,519.15,620.53,495.96,-29.0051,-23.1923,37.1373,2.1225,152.6151,189.5305,21.27,373.1772,373.8604,374.0604,374.0655,374.5602,374.7256,375.5765,375.8622,376.7261,0.005,0.1653,0.2856,0,NA,2
ad,2,3,M,S,5,38,55,2,3,1,0,2,1,3,5,2,675.75,533.45,682.11,517.77,6.3666,-15.6824,16.9255,2.8191,205.0938,199.9161,21.27,382.3076,383.0573,383.2573,383.2621,383.7572,383.9765,NA,NA,384.84,0.0047,0.2191,NA,0,NA,1
ad,2,3,M,S,5,39,57,1,4,0,0,1,0,0,5,5,635.23,533.45,631.63,518.66,-3.601,-14.7879,15.22,1.7207,153.7274,165.9492,21.27,393.6538,394.4036,394.6035,394.6086,NA,NA,NA,NA,395.12,0.0049,NA,NA,0,NA,0
ad,2,3,M,S,5,40,58,3,1,2,4,4,3,24,5,9,642.38,535.83,591.27,535.53,-51.1136,-0.3038,51.1145,2.0406,146.6516,189.2506,21.27,400.3018,400.9514,401.1513,401.1564,401.6512,401.8702,402.7176,402.98630000000003,403.8507,0.0049,0.2189,0.2685,0,NA,2
ad,2,3,M,S,6,1,1,2,2,4,0,2,1,4,5,8,620.94,488.17,600.25,502.15,-20.689,13.9796,24.9692,4.2226,194.7629,200.5954,21.27,2.0493,2.6991,2.8991,2.9041,3.399,3.5941,NA,NA,4.4653,0.0049,0.1949,NA,0,NA,1
ad,2,3,M,S,6,2,4,1,2,0,0,1,0,0,5,5,649.53,521.53,673.74,509.49,24.2097,-12.0403,27.0385,1.5261,164.9534,191.3134,21.27,21.343,21.9928,22.193,22.1981,NA,NA,NA,NA,22.7092,0.005,NA,NA,0,NA,0
ad,2,3,M,S,6,3,5,1,2,0,0,1,0,0,5,5,635.23,523.92,653.2,519.44,17.9694,-4.4781,18.5189,1.5821,152.6895,169.1095,21.27,27.5243,28.1742,28.3741,28.3793,NA,NA,NA,NA,28.9072,0.005,NA,NA,0,NA,0
ad,2,3,M,S,6,4,6,2,4,2,0,2,1,3,5,2,642.38,512,660.9,512.52,18.5153,0.5195,18.5226,3.23,166.0953,179.4519,21.27,33.7889,34.4387,34.6387,34.644,35.1385,35.3916,NA,NA,36.2549,0.0051,0.2529,NA,0,NA,1
ad,2,3,M,S,6,5,9,3,1,2,4,4,3,24,5,9,666.21,519.15,642.72,496.26,-23.4955,-22.8876,32.8006,1.421,141.4538,174.0977,21.27,49.2005,49.8836,50.0836,50.0887,50.5837,51.077,51.9166,52.217,53.0825,0.005,0.4932,0.3002,0,NA,2
ad,2,3,M,S,6,6,10,3,2,4,3,4,3,41,5,7,673.36,497.7,684.12,504.83,10.7575,7.1307,12.9062,3.1609,131.3927,130.7719,21.27,57.8143,58.4642,58.6643,58.6693,59.164,59.3543,60.1972,60.472,61.3466,0.0048,0.1902,0.2746,0,NA,2
ad,2,3,M,S,6,7,13,3,4,2,4,5,1,34,5,5,609.02,540.6,661.34,540.61,52.3242,0.012,52.3242,2.0843,171.3463,129.1816,21.27,74.4255,75.2421,75.442,75.447,75.9417,76.2645,77.1081,77.3008,78.1743,0.0049,0.3226,0.1925,0,NA,2 return
ad,2,3,M,S,6,8,15,1,4,0,0,1,0,0,5,5,644.77,526.3,638.39,522.62,-6.3795,-3.6737,7.3617,1.9767,151.0711,158.2661,21.27,86.155,86.8716,87.0714,87.0767,NA,NA,NA,NA,87.5878,0.0051,NA,NA,0,NA,0
ad,2,3,M,S,6,9,16,2,1,2,0,3,2,2,5,6,642.38,533.45,620.51,502.57,-21.8714,-30.8777,37.839,2.4985,151.8585,158.6127,21.27,92.8863,93.586,93.7858,93.7939,94.2858,94.5098,NA,NA,95.3688,0.0077,0.2239,NA,0,NA,1
ad,2,3,M,S,6,10,17,2,3,1,0,2,1,3,5,2,654.3,526.3,670.68,504.34,16.3771,-21.9627,27.3966,2.8225,184.623,182.696,21.27,101.2,101.8832,102.0832,102.0883,102.5831,102.8166,NA,NA,103.6827,0.0049,0.2334,NA,0,NA,1
ad,2,3,M,S,6,11,18,2,4,3,0,3,2,1,5,4,635.23,476.25,608.88,459.62,-26.3588,-16.6283,31.1654,4.1445,145.3461,160.6213,21.27,109.8308,110.5137,110.7138,110.719,111.2136,111.4552,NA,NA,112.3131,0.005,0.2415,NA,0,NA,1
ad,2,3,M,S,6,12,22,2,3,4,0,3,2,2,5,6,618.55,476.25,641.25,482.25,22.6941,6.0006,23.474,2.415,205.0938,185.8507,21.27,131.2735,132.0733,132.2733,132.2783,132.773,133.0221,NA,NA,133.8894,0.0048,0.249,NA,0,NA,1
ad,2,3,M,S,6,13,26,3,3,1,2,4,3,32,5,3,635.23,476.25,652.68,494.77,17.4498,18.5202,25.4459,1.789,188.4976,185.5791,21.27,151.217,156.4486,156.6485,156.6537,157.1483,157.3638,158.2147,158.4799,159.3476,0.005,0.2152,0.265,0,NA,2
ad,2,3,M,S,6,14,27,2,4,3,0,3,2,1,5,4,673.36,504.85,666.26,505.38,-7.1019,0.5282,7.1215,1.8477,137.0143,141.8315,21.27,164.4959,165.1958,165.3957,165.4011,165.8956,166.1335,NA,NA,166.9952,0.0051,0.2377,NA,0,NA,1
ad,2,3,M,S,6,15,28,3,3,4,2,4,3,23,5,3,632.85,523.92,649.88,496.12,17.0243,-27.7945,32.5939,2.0368,150.9583,182.6617,21.27,172.21,172.8931,173.0931,173.098,173.5929,173.8024,174.6426,174.8662,175.7258,0.0048,0.2093,0.2235,0,NA,2
ad,2,3,M,S,6,16,29,3,2,1,2,5,2,12,5,5,673.36,528.68,669.33,539.96,-4.0355,11.2752,11.9756,1.8734,179.7159,170.2598,21.27,181.1237,181.807,182.0068,182.0145,182.5068,182.7968,183.6396,183.9517,184.8227,0.0075,0.2899,0.312,0,NA,2 return
ad,2,3,M,S,6,17,30,2,3,1,0,2,1,3,5,2,611.4,478.64,626.31,476.05,14.9099,-2.5817,15.1317,1.7137,120.6357,130.2602,21.27,190.0543,190.7373,190.9372,190.9421,191.437,191.624,NA,NA,192.4867,0.0048,0.1869,NA,0,NA,1
ad,2,3,M,S,6,18,31,2,3,4,0,3,2,2,5,6,654.3,497.7,676.86,513.01,22.5607,15.3065,27.263,2.2468,165.6405,139.9408,21.27,197.5685,198.2515,198.4514,198.4571,198.9513,199.1661,NA,NA,200.0342,0.0056,0.2147,NA,0,NA,1
ad,2,3,M,S,6,19,33,1,3,0,0,1,0,0,5,5,606.64,488.17,597.96,481.12,-8.6716,-7.0478,11.1744,3.2279,175.8557,179.8393,21.27,210.0143,210.8642,211.0641,211.069,NA,NA,NA,NA,211.5805,0.0047,NA,NA,0,NA,0
ad,2,3,M,S,6,20,34,3,3,1,3,5,1,34,5,5,663.83,533.45,669.55,499.66,5.7196,-33.7879,34.2686,1.2771,165.8365,135.3288,21.27,218.1783,218.878,219.0779,219.0843,219.5782,219.7885,220.6274,220.821,221.6938,0.0061,0.2102,0.1934,0,NA,2 return
ad,2,3,M,S,6,21,36,3,1,3,1,5,1,43,5,5,628.08,535.83,625.72,529.77,-2.3657,-6.0577,6.5032,1.8003,174.6658,168.4033,21.27,228.9247,229.4245,229.6246,229.6295,230.1244,230.3059,231.1574,231.3528,232.2236,0.0048,0.1814,0.1953,0,NA,2 return
ad,2,3,M,S,6,22,38,2,1,2,0,3,2,2,5,6,609.02,512,600.79,508.66,-8.2265,-3.3398,8.8787,2.1711,144.1692,142.2573,21.27,239.9877,240.6209,240.8208,240.8259,241.3206,241.5825,NA,NA,242.4536,0.0049,0.2618,NA,0,NA,1
ad,2,3,M,S,6,23,39,1,3,0,0,1,0,0,5,5,647.15,512,647.82,518.34,0.67490000000000006,6.3359,6.3718,1.5437,159.4264,163.6558,21.27,248.0184,248.6848,248.8848,248.8897,NA,NA,NA,NA,249.4013,0.0048,NA,NA,0,NA,0
ad,2,3,M,S,6,24,40,2,4,2,0,2,1,3,5,2,654.3,507.23,635.7,510.54,-18.5995,3.3014,18.8902,2.1552,178.0102,162.4475,21.27,254.3332,255.0661,255.2661,255.2714,255.7659,255.9701,NA,NA,256.8322,0.0052,0.2041,NA,0,NA,1
ad,2,3,M,S,6,25,43,3,4,3,4,5,2,12,5,5,625.7,535.83,603.64,541.65,-22.0568,5.8212,22.812,1.7447,159.9499,175.4632,21.27,272.044,272.7434,272.9436,272.9486,273.4435,273.6755,274.5264,274.8931,275.7594,0.0049,0.2319,0.3665,0,NA,2 return
ad,2,3,M,S,6,26,45,1,1,0,0,1,0,0,5,5,642.38,500.08,646.59,493.49,4.2028,-6.5922,7.818,1.6275,157.985,156.9776,21.27,283.4902,284.1066,284.3066,284.3118,NA,NA,NA,NA,284.823,0.005,NA,NA,0,NA,0
ad,2,3,M,S,6,27,46,2,2,4,0,2,1,4,5,8,637.62,478.64,639.98,520.66,2.3636,42.0238,42.0902,1.5541,190.9392,158.4107,21.27,289.8547,290.5213,290.721,290.7349,291.2375,291.4324,NA,NA,292.3041,0.0138,0.1947,NA,0,NA,1
ad,2,3,M,S,6,28,48,2,1,3,0,2,1,4,5,8,651.92,526.3,658.77,498.25,6.8501,-28.0526,28.8768,2.163,167.1179,141.4512,21.27,302.3672,303.0003,303.2003,303.2057,303.7001,303.8421,NA,NA,304.7166,0.0052,0.1419,NA,0,NA,1
ad,2,3,M,S,6,29,50,1,4,0,0,1,0,0,5,5,668.6,516.77,655.48,503.76,-13.113,-13.0084,18.4708,1.9308,141.8147,160.1617,21.27,314.3133,321.0111,321.2112,321.2164,NA,NA,NA,NA,321.7277,0.005,NA,NA,0,NA,0
ad,2,3,M,S,6,30,51,3,4,2,1,4,3,31,5,1,613.79,545.36,613.41,566.86,-0.3756,21.4919,21.4951,3.2395,174.6151,193.1729,21.27,327.0924,327.7758,327.9756,327.9808,328.4753,328.686,329.5248,329.7611,330.6245,0.005,0.2106,0.2361,0,NA,2
ad,2,3,M,S,6,31,52,2,2,1,0,3,2,1,5,4,661.45,533.45,661.86,541.52,0.4074,8.0715,8.0818,2.5941,194.7337,200.8024,21.27,337.3058,338.0224,338.2221,338.2282,338.7222,338.9516,NA,NA,339.8217,0.006,0.2293,NA,0,NA,1
ad,2,3,M,S,6,32,53,3,3,4,3,5,2,21,5,5,625.7,490.55,645.95,474.75,20.2479,-15.802,25.6842,1.7007,161.3386,135.6727,21.27,345.8364,346.5195,346.7193,346.7264,347.2191,347.6859,348.5355,348.7865,349.6517,0.0069,0.4667,0.2509,0,NA,2 return
ad,2,3,M,S,6,33,54,3,4,3,1,4,3,13,5,1,663.83,500.08,674.48,510.42,10.6454,10.3335,14.836,2.78,174.6658,189.3858,21.27,354.8001,355.5333,355.733,355.7379,356.2329,356.4948,357.3491,357.6635,358.5323,0.0048,0.2617,0.3142,0,NA,2
ad,2,3,M,S,6,34,60,2,1,3,0,2,1,4,5,8,623.32,509.62,623.2,493.9,-0.1229,-15.7184,15.7189,3.073,175.0322,165.3373,21.27,383.8072,384.4902,384.6901,384.6953,385.19,385.3553,NA,NA,386.2231,0.005,0.1651,NA,0,NA,1
ad,2,3,M,S,6,35,63,1,1,0,0,1,0,0,5,5,640,502.47,665.23,504.38,25.2305,1.9114,25.3028,1.4666,157.8052,178.3724,21.27,415.0637,415.73,415.93,415.935,NA,NA,NA,NA,416.4464,0.0049,NA,NA,0,NA,0
ad,2,3,M,S,6,36,64,3,2,1,3,4,3,14,5,7,623.32,528.68,638.16,514.83,14.8459,-13.8498,20.3031,2.8524,187.9932,167.7038,21.27,421.3947,422.0612,422.2611,422.2662,422.7612,422.9836,423.8274,424.0681,424.9269,0.0049,0.2222,0.2406,0,NA,2
ad,2,3,M,S,6,37,65,3,2,4,2,5,1,43,5,5,620.94,514.38,626.74,501,5.8071,-13.3831,14.5887,1.4933,149.701,163.7062,21.27,431.2416,431.9248,432.1245,432.1337,432.6244,432.822,433.6741,433.8739,434.7405,0.0089,0.1973,0.1996,0,NA,2 return
ad,2,3,M,S,6,38,66,3,1,3,4,4,3,42,5,9,609.02,509.62,601.55,514.37,-7.4687,4.7542,8.8535,4.2269,189.0777,192.0937,21.27,439.7053,440.4386,440.6385,440.6435,441.1382,441.3155,442.1545,442.4237,443.2875,0.0049,0.1771,0.269,0,NA,2
ad,2,3,M,S,6,39,67,3,1,2,1,5,2,21,5,5,649.53,485.79,648.5,489.25,-1.0286,3.4604,3.61,1.2793,154.685,155.9001,21.27,450.9851,451.6847,451.8847,451.8897,452.3845,452.6462,453.5008,453.7371,454.6004,0.0048,0.2616,0.236,0,NA,2 return
ad,2,3,M,S,6,40,70,2,2,1,0,3,2,1,5,4,630.47,519.15,621.8,516.79,-8.6668,-2.3564,8.9814,1.7543,163.1435,155.7727,21.27,467.5631,468.1962,468.3961,468.4012,468.8959,469.0672,NA,NA,469.9289,0.0049,0.1711,NA,0,NA,1
lb,1,4,M,S,1,1,1,3,3,1,3,5,1,34,5,5,611.4,531.06,654.34,484.73,42.9333,-46.3305,63.1648,0.9428,198.2186,135.2941,21.27,2.0993,2.8492,3.049,3.0622,3.5656,4.0576,4.8984,5.204,6.098,0.011,0.4918,0.3054,0,NA,2 return
lb,1,4,M,S,1,2,2,3,2,4,3,4,3,41,5,7,609.02,526.3,607.6,526.88,-1.4179,0.5763,1.5306,1.162,196.7727,198.2166,21.27,10.3134,11.213,11.413,11.4188,11.9128,12.1758,13.029,13.2927,14.1622,0.0056,0.2629,0.2635,0,NA,2
lb,1,4,M,S,1,3,5,2,4,3,0,3,2,1,5,4,651.92,495.32,623.79,503.25,-28.1226,7.9357,29.2208,1.1662,144.2196,170.5922,21.27,27.5244,28.3908,28.5906,28.5964,29.0904,29.3859,NA,NA,30.2567,0.0057,0.2953,NA,0,NA,1
lb,1,4,M,S,1,4,8,3,1,3,4,4,3,42,5,9,659.06,476.25,618.62,485.73,-40.4399,9.4733,41.5347,1.1414,180.4098,198.1244,21.27,42.2861,43.0193,43.2191,43.2249,43.7191,44.0183,44.8687,45.2093,46.085,0.0057,0.2991,0.3404,0,NA,2
lb,1,4,M,S,1,5,11,3,4,2,4,5,1,34,5,5,661.45,535.83,620.71,499.69,-40.7371,-36.1397,54.4572,0.7915,132.3951,186.8097,21.27,63.8956,64.5624,64.762,64.7677,65.262200000000007,65.7086,66.5615,66.8305,67.6944,0.0055,0.4462,0.2689,0,NA,2 return
lb,1,4,M,S,1,6,13,1,4,0,0,1,0,0,5,5,666.21,523.92,647.39,509.41,-18.8197,-14.5054,23.7611,1.3688,137.8111,161.1589,21.27,76.3419,77.0247,77.2246,77.2399,NA,NA,NA,NA,77.7577,0.0151,NA,NA,0,NA,0
lb,1,4,M,S,1,7,16,3,4,3,1,4,3,13,5,1,618.55,538.21,634.42,525.43,15.866,-12.7885,20.3783,1.3326,171.1234,170.4786,21.27,91.9032,92.7195,92.9197,92.9254,93.4194,93.7468,94.6022,94.9057,95.7685,0.0056,0.3273,0.3034,0,NA,2
lb,1,4,M,S,1,8,19,2,2,4,0,2,1,4,5,8,604.25,488.17,614.95,472.87,10.6959,-15.3017,18.6693,1.3564,206.7013,210.0224,21.27,107.6647,108.3478,108.5478,108.5536,109.0475,109.2708,NA,NA,110.1304,0.0057,0.2232,NA,0,NA,1
lb,1,4,M,S,1,9,20,1,2,0,0,1,0,0,5,5,620.94,478.64,621.88,462.77,0.9477,-15.863,15.8912,1.3618,178.4066,192.3857,21.27,114.8122,115.4787,115.6786,115.6843,NA,NA,NA,NA,116.1951,0.0056,NA,NA,0,NA,0
lb,1,4,M,S,1,10,21,1,1,0,0,1,0,0,5,5,659.06,526.3,624.7,503.56,-34.3657,-22.7401,41.2082,1.1624,188.0234,147.693,21.27,120.877,121.5766,121.7767,121.7827,NA,NA,NA,NA,122.2931,0.0059,NA,NA,0,NA,0
lb,1,4,M,S,1,11,23,1,4,0,0,1,0,0,5,5,609.02,483.4,590.43,471.8,-18.5898,-11.6018,21.9131,1.0211,206.5364,227.9746,21.27,133.0562,133.7227,133.9226,133.9284,NA,NA,NA,NA,134.4392,0.0056,NA,NA,0,NA,0
lb,1,4,M,S,1,12,25,2,2,1,0,3,2,1,5,4,675.75,526.3,674.52,495.49,-1.2272,-30.8065,30.8309,1.4217,200.3638,180.7753,21.27,142.2032,142.9032,143.1029,143.1104,143.6028,144.1005,NA,NA,144.969,0.0072,0.4976,NA,0,NA,1
lb,1,4,M,S,1,13,26,2,1,3,0,2,1,4,5,8,661.45,521.53,633.86,511.07,-27.5887,-10.4582,29.5044,1.4786,157.5069,168.1633,21.27,149.7341,150.4005,150.6005,150.6064,151.1003,151.3671,NA,NA,152.2332,0.0058,0.2667,NA,0,NA,1
lb,1,4,M,S,1,14,27,3,2,1,3,4,3,14,5,7,609.02,504.85,618.54,529.69,9.5235,24.8407,26.6037,1.0246,183.2471,192.1022,21.27,157.0651,157.7481,157.9482,157.954,158.4479,158.7708,159.6143,159.9198,160.7807,0.0057,0.3228,0.3053,0,NA,2
lb,1,4,M,S,1,15,30,3,3,4,3,5,2,21,5,5,618.55,490.55,615.89,476.4,-2.6613,-14.1496,14.3977,1.2921,167.1763,161.8806,21.27,174.9258,175.7589,175.9588,175.9646,176.4587,176.864,177.7082,178.0137,178.8747,0.0057,0.4052,0.3054,0,NA,2 return
lb,1,4,M,S,1,16,36,1,2,0,0,1,0,0,5,5,606.64,481.02,599.93,507.02,-6.7028,26.0039,26.8539,1.2033,168.9578,143.1769,21.27,204.3829,205.1826,205.3825,205.3883,NA,NA,NA,NA,205.8989,0.0056,NA,NA,0,NA,0
